NormalSentence,ProcessedSentence,Q-type-involved,Agent-involved
How many books does Stephen possess currently?,How many type2 does Agent1 possess currently?,type2,Agent1
How many dimes does Mike still have?,How many type1 does Agent3 still have?,type1,Agent3
How many apples does Stephen possess currently?,How many type1 does Agent1 possess currently?,type1,Agent1
How many cupcakes does Emma possess currently?,How many type1 does Agent3 possess currently?,type1,Agent3
How many cupcakes belong to Mary now?,How many type1 belong to Agent2 now?,type1,Agent2
How many balloons does Stephen still have?,How many type1 does Agent3 still have?,type1,Agent3
How many toys are with Jessica now?,How many type1 are with Agent1 now?,type1,Agent1
How many books are with Mike now?,How many type2 are with Agent1 now?,type2,Agent1
How many toys does Emma still have?,How many type2 does Agent1 still have?,type2,Agent1
How many cupcakes belong to Mike now?,How many type2 belong to Agent1 now?,type2,Agent1
How many balloons does Emma possess currently?,How many type2 does Agent3 possess currently?,type2,Agent3
How many books does Stephen have now?,How many type1 does Agent2 have now?,type1,Agent2
How many coins does Mike still have?,How many type2 does Agent2 still have?,type2,Agent2
How many toys does Joan possess currently?,How many type2 does Agent2 possess currently?,type2,Agent2
How many balloons does Mike possess currently?,How many type1 does Agent3 possess currently?,type1,Agent3
How many dimes belong to Sam now?,How many type2 belong to Agent2 now?,type2,Agent2
How many coins does Sara have now?,How many type1 does Agent1 have now?,type1,Agent1
How many toys does Mary possess currently?,How many type2 does Agent1 possess currently?,type2,Agent1
How many marbles does Sara still have?,How many type1 does Agent3 still have?,type1,Agent3
How many pens does Sam possess currently?,How many type1 does Agent2 possess currently?,type1,Agent2
How many coins belong to Daniel now?,How many type2 belong to Agent3 now?,type2,Agent3
How many pens does Emma possess currently?,How many type2 does Agent2 possess currently?,type2,Agent2
How many dimes does Daniel have now?,How many type2 does Agent1 have now?,type2,Agent1
How many books does Joan still have?,How many type1 does Agent3 still have?,type1,Agent3
How many marbles belong to Mike now?,How many type2 belong to Agent2 now?,type2,Agent2
How many candies does Daniel have now?,How many type2 does Agent3 have now?,type2,Agent3
How many books are with Daniel now?,How many type2 are with Agent3 now?,type2,Agent3
How many books does Jessica still have?,How many type2 does Agent1 still have?,type2,Agent1
How many apples does Jessica have now?,How many type1 does Agent3 have now?,type1,Agent3
How many balloons are with Daniel now?,How many type1 are with Agent1 now?,type1,Agent1
How many dimes are with Daniel now?,How many type1 are with Agent3 now?,type1,Agent3
How many candies are with Stephen now?,How many type1 are with Agent2 now?,type1,Agent2
How many coins does Stephen have now?,How many type1 does Agent3 have now?,type1,Agent3
How many books does Sam possess currently?,How many type1 does Agent3 possess currently?,type1,Agent3
How many dimes belong to Sam now?,How many type1 belong to Agent2 now?,type1,Agent2
How many marbles does Mary possess currently?,How many type1 does Agent3 possess currently?,type1,Agent3
How many balloons belong to Mary now?,How many type2 belong to Agent2 now?,type2,Agent2
How many candies does Mike have now?,How many type1 does Agent1 have now?,type1,Agent1
How many toys does Stephen possess currently?,How many type1 does Agent3 possess currently?,type1,Agent3
How many apples does Mike have now?,How many type1 does Agent1 have now?,type1,Agent1
How many apples does Sara possess currently?,How many type1 does Agent3 possess currently?,type1,Agent3
How many balloons does Sam possess currently?,How many type1 does Agent3 possess currently?,type1,Agent3
How many marbles does Emma still have?,How many type2 does Agent1 still have?,type2,Agent1
How many pens does Dan still have?,How many type1 does Agent1 still have?,type1,Agent1
How many toys does Mary have now?,How many type2 does Agent2 have now?,type2,Agent2
How many books are with Stephen now?,How many type2 are with Agent3 now?,type2,Agent3
How many books belong to Dan now?,How many type1 belong to Agent1 now?,type1,Agent1
How many candies are with Joan now?,How many type2 are with Agent1 now?,type2,Agent1
How many candies belong to Dan now?,How many type1 belong to Agent2 now?,type1,Agent2
How many books does Stephen possess currently?,How many type1 does Agent1 possess currently?,type1,Agent1
How many dimes does Mary possess currently?,How many type2 does Agent2 possess currently?,type2,Agent2
How many pens does Stephen have now?,How many type1 does Agent2 have now?,type1,Agent2
How many pens does Jessica still have?,How many type2 does Agent2 still have?,type2,Agent2
How many cupcakes are with Sam now?,How many type1 are with Agent1 now?,type1,Agent1
How many coins are with Stephen now?,How many type1 are with Agent3 now?,type1,Agent3
How many apples belong to Stephen now?,How many type2 belong to Agent3 now?,type2,Agent3
How many dimes does Stephen have now?,How many type1 does Agent1 have now?,type1,Agent1
How many marbles does Mike have now?,How many type1 does Agent2 have now?,type1,Agent2
How many marbles does Dan have now?,How many type1 does Agent3 have now?,type1,Agent3
How many pens does Emma possess currently?,How many type2 does Agent2 possess currently?,type2,Agent2
How many toys does Dan possess currently?,How many type2 does Agent2 possess currently?,type2,Agent2
How many balloons does Sam have now?,How many type2 does Agent1 have now?,type2,Agent1
How many candies belong to Emma now?,How many type1 belong to Agent1 now?,type1,Agent1
How many coins are with Daniel now?,How many type2 are with Agent1 now?,type2,Agent1
How many books does Dan possess currently?,How many type2 does Agent2 possess currently?,type2,Agent2
How many candies belong to Daniel now?,How many type2 belong to Agent3 now?,type2,Agent3
How many apples does Daniel have now?,How many type2 does Agent3 have now?,type2,Agent3
How many dimes belong to Jessica now?,How many type1 belong to Agent1 now?,type1,Agent1
How many dimes does Jessica possess currently?,How many type2 does Agent3 possess currently?,type2,Agent3
How many toys does Dan still have?,How many type2 does Agent3 still have?,type2,Agent3
How many balloons does Stephen still have?,How many type1 does Agent3 still have?,type1,Agent3
How many balloons does Stephen possess currently?,How many type1 does Agent2 possess currently?,type1,Agent2
How many balloons does Joan still have?,How many type2 does Agent3 still have?,type2,Agent3
How many cupcakes does Stephen possess currently?,How many type1 does Agent1 possess currently?,type1,Agent1
How many cupcakes belong to Stephen now?,How many type2 belong to Agent3 now?,type2,Agent3
How many dimes are with Mary now?,How many type1 are with Agent1 now?,type1,Agent1
How many toys does Stephen possess currently?,How many type2 does Agent1 possess currently?,type2,Agent1
How many books does Sara possess currently?,How many type2 does Agent3 possess currently?,type2,Agent3
How many coins does Joan have now?,How many type1 does Agent2 have now?,type1,Agent2
How many dimes does Sara possess currently?,How many type2 does Agent3 possess currently?,type2,Agent3
How many balloons does Joan have now?,How many type1 does Agent2 have now?,type1,Agent2
How many candies are with Dan now?,How many type1 are with Agent2 now?,type1,Agent2
How many balloons does Dan possess currently?,How many type1 does Agent1 possess currently?,type1,Agent1
How many pens are with Sara now?,How many type2 are with Agent1 now?,type2,Agent1
How many toys belong to Daniel now?,How many type2 belong to Agent3 now?,type2,Agent3
How many toys does Stephen possess currently?,How many type1 does Agent2 possess currently?,type1,Agent2
How many marbles belong to Jessica now?,How many type1 belong to Agent1 now?,type1,Agent1
How many pens belong to Sara now?,How many type2 belong to Agent2 now?,type2,Agent2
How many cupcakes does Mike possess currently?,How many type2 does Agent3 possess currently?,type2,Agent3
How many balloons belong to Stephen now?,How many type2 belong to Agent1 now?,type2,Agent1
How many cupcakes does Dan have now?,How many type2 does Agent2 have now?,type2,Agent2
How many toys does Emma have now?,How many type2 does Agent3 have now?,type2,Agent3
How many balloons does Daniel still have?,How many type2 does Agent3 still have?,type2,Agent3
How many toys does Mary possess currently?,How many type2 does Agent3 possess currently?,type2,Agent3
How many coins does Mary possess currently?,How many type2 does Agent3 possess currently?,type2,Agent3
How many marbles belong to Emma now?,How many type2 belong to Agent2 now?,type2,Agent2
How many apples does Jessica still have?,How many type2 does Agent1 still have?,type2,Agent1
How many marbles does Emma still have?,How many type2 does Agent2 still have?,type2,Agent2
How many candies does Dan possess currently?,How many type2 does Agent3 possess currently?,type2,Agent3
How many books does Jessica possess currently?,How many type2 does Agent1 possess currently?,type2,Agent1
