NormalSentence,ProcessedSentence,fromAgent,toAgent,Qvalue,Qtype
Liam handed 6 cards to Ava.,Agent1 handed number4 type1 to Agent2,Agent1,Agent2,number4,type1
Noah took 11 apples from Ava.,Agent2 took number4 type2 from Agent3,Agent3,Agent2,number4,type2
Olivia gave 17 stamps to Emma.,Agent2 gave number3 type1 to Agent1,Agent2,Agent1,number3,type1
Lucas took 2 marbles from Sophia.,Agent2 took number3 type1 from Agent1,Agent1,Agent2,number3,type1
Daniel handed 26 stickers to John.,Agent1 handed number3 type1 to Agent3,Agent1,Agent3,number3,type1
Lucas received 49 cards from Emma.,Agent2 received number4 type2 from Agent1,Agent1,Agent2,number4,type2
Noah borrowed 4 stickers from Daniel.,Agent2 borrowed number4 type1 from Agent1,Agent1,Agent2,number4,type1
Noah got 31 marbles from Daniel.,Agent2 got number3 type1 from Agent3,Agent3,Agent2,number3,type1
Mike handed 3 marbles to Sophia.,Agent1 handed number4 type1 to Agent2,Agent1,Agent2,number4,type1
Olivia received 19 stamps from Daniel.,Agent2 received number3 type2 from Agent1,Agent1,Agent2,number3,type2
Daniel passed 42 marbles to Ava.,Agent1 passed number4 type1 to Agent2,Agent1,Agent2,number4,type1
Noah borrowed 49 stickers from Liam.,Agent2 borrowed number3 type1 from Agent3,Agent3,Agent2,number3,type1
Noah received 11 pens from Liam.,Agent2 received number4 type1 from Agent1,Agent1,Agent2,number4,type1
Liam gave 24 blue marbles to Noah.,Agent1 gave number4 type2 to Agent3,Agent1,Agent3,number4,type2
Liam got 22 pens from John.,Agent2 got number3 type1 from Agent1,Agent1,Agent2,number3,type1
Sophia took 11 marbles from Lucas.,Agent2 took number4 type1 from Agent3,Agent3,Agent2,number4,type1
Sophia gave 38 chocolates to Ava.,Agent2 gave number3 type1 to Agent3,Agent2,Agent3,number3,type1
Mike gave 2 marbles to Ava.,Agent1 gave number4 type1 to Agent2,Agent1,Agent2,number4,type1
John handed 31 stickers to Noah.,Agent1 handed number4 type2 to Agent3,Agent1,Agent3,number4,type2
Olivia handed 20 books to John.,Agent1 handed number3 type1 to Agent2,Agent1,Agent2,number3,type1
Noah transferred 28 red marbles to Olivia.,Agent3 transferred number5 type2 to Agent1,Agent3,Agent1,number5,type2
Noah gave 50 marbles to John.,Agent1 gave number3 type1 to Agent2,Agent1,Agent2,number3,type1
Mike handed 24 pens to Sophia.,Agent2 handed number4 type1 to Agent1,Agent2,Agent1,number4,type1
Sophia took 35 marbles from Lucas.,Agent2 took number3 type1 from Agent3,Agent3,Agent2,number3,type1
John gave 38 books to Sophia.,Agent1 gave number3 type1 to Agent2,Agent1,Agent2,number3,type1
Ava gave 18 pens to Mike.,Agent1 gave number3 type2 to Agent2,Agent1,Agent2,number3,type2
Emma handed 44 stamps to Noah.,Agent2 handed number4 type2 to Agent3,Agent2,Agent3,number4,type2
Noah gave 3 stickers to Ava.,Agent1 gave number3 type1 to Agent2,Agent1,Agent2,number3,type1
Mike took 8 books from Liam.,Agent2 took number4 type1 from Agent3,Agent3,Agent2,number4,type1
Ava transferred 25 apples to Noah.,Agent3 transferred number3 type1 to Agent2,Agent3,Agent2,number3,type1
Emma handed 29 cards to Daniel.,Agent1 handed number4 type1 to Agent2,Agent1,Agent2,number4,type1
Olivia gave 16 balls to Ava.,Agent1 gave number3 type1 to Agent3,Agent1,Agent3,number3,type1
Sophia transferred 46 yellow marbles to Liam.,Agent2 transferred number5 type2 to Agent1,Agent2,Agent1,number5,type2
Liam gave 20 pens to Lucas.,Agent1 gave number3 type2 to Agent2,Agent1,Agent2,number4,type2
Noah passed 25 apples to Mike.,Agent1 passed number3 type1 to Agent2,Agent1,Agent2,number3,type1
Sophia borrowed 40 balls from Emma.,Agent2 borrowed number4 type1 from Agent3,Agent3,Agent2,number4,type1
Olivia transferred 17 cards to Emma.,Agent3 transferred number4 type1 to Agent2,Agent3,Agent2,number4,type1
Noah got 24 chocolates from Emma.,Agent2 got number3 type1 from Agent1,Agent1,Agent2,number3,type1
Ava gave 34 cards to Liam.,Agent1 gave number4 type1 to Agent3,Agent1,Agent3,number4,type1
Sophia handed 28 books to Noah.,Agent1 handed number3 type1 to Agent2,Agent1,Agent2,number3,type1
Emma handed 6 stamps to John.,Agent3 handed number4 type1 to Agent2,Agent3,Agent2,number4,type1
Noah passed 43 stamps to Mike.,Agent3 passed number5 type2 to Agent2,Agent3,Agent2,number5,type2
Sophia received 49 cards from Emma.,Agent2 received number3 type1 from Agent1,Agent1,Agent2,number3,type1
Lucas received 34 cards from Daniel.,Agent3 received number4 type2 from Agent2,Agent2,Agent3,number4,type2
Sophia got 20 books from Emma.,Agent2 got number3 type1 from Agent1,Agent1,Agent2,number3,type1
Emma received 46 balls from Daniel.,Agent2 received number3 type1 from Agent1,Agent1,Agent2,number3,type1
Mike took 32 cards from Ava.,Agent2 took number4 type2 from Agent3,Agent3,Agent2,number4,type2
Daniel borrowed 36 stamps from Ava.,Agent3 borrowed number3 type1 from Agent2,Agent2,Agent3,number3,type1
Mike got 46 pens from Olivia.,Agent2 got number5 type2 from Agent1,Agent1,Agent2,number5,type2
Emma passed 28 balls to Liam.,Agent3 passed number4 type1 to Agent2,Agent3,Agent2,number4,type1
John got 29 balls from Lucas.,Agent2 got number3 type1 from Agent3,Agent3,Agent2,number3,type1
Noah borrowed 11 balls from Olivia.,Agent3 borrowed number5 type2 from Agent1,Agent1,Agent3,number5,type2
Daniel received 31 apples from Ava.,Agent2 received number4 type1 from Agent1,Agent1,Agent2,number4,type1
Noah got 50 pens from Liam.,Agent2 got number4 type2 from Agent3,Agent3,Agent2,number4,type2
Ava passed 18 balls to John.,Agent1 passed number3 type1 to Agent2,Agent1,Agent2,number3,type1
Noah transferred 4 stickers to Olivia.,Agent1 transferred number4 type2 to Agent2,Agent1,Agent2,number4,type2
John handed 36 stamps to Olivia.,Agent1 handed number3 type1 to Agent3,Agent1,Agent3,number3,type1
Liam took 15 apples from Daniel.,Agent2 took number3 type1 from Agent1,Agent1,Agent2,number3,type1
John got 29 chocolates from Mike.,Agent2 got number5 type2 from Agent3,Agent3,Agent2,number5,type2
Olivia got 38 chocolates from Liam.,Agent1 got number4 type2 from Agent3,Agent3,Agent1,number4,type2
Olivia got 26 stickers from Emma.,Agent2 got number3 type1 from Agent1,Agent1,Agent2,number3,type1
Lucas handed 49 books to Ava.,Agent1 handed number5 type2 to Agent3,Agent1,Agent3,number5,type2
Emma gave 3 pens to Daniel.,Agent1 gave number5 type2 to Agent2,Agent1,Agent2,number5,type2
Sophia got 14 pens from Mike.,Agent3 got number4 type1 from Agent1,Agent1,Agent3,number4,type1
Daniel transferred 21 apples to Noah.,Agent2 transferred number5 type2 to Agent3,Agent2,Agent3,number5,type2
Emma borrowed 24 chocolates from Mike.,Agent2 borrowed number4 type1 from Agent1,Agent1,Agent2,number4,type1
Noah got 36 marbles from Mike.,Agent3 got number4 type1 from Agent1,Agent1,Agent3,number4,type1
Mike gave 3 books to John.,Agent1 gave number5 type2 to Agent2,Agent1,Agent2,number5,type2
John borrowed 18 chocolates from Daniel.,Agent3 borrowed number5 type1 from Agent2,Agent2,Agent3,number5,type1
Lucas took 42 books from Daniel.,Agent2 took number4 type2 from Agent1,Agent1,Agent2,number4,type2
Daniel gave 30 pens to Mike.,Agent1 gave number5 type2 to Agent2,Agent1,Agent2,number5,type2
Liam passed 18 marbles to Mike.,Agent3 passed number4 type1 to Agent2,Agent3,Agent2,number4,type1
Ava got 43 apples from John.,Agent3 got number4 type1 from Agent1,Agent1,Agent3,number4,type1
Mike borrowed 7 apples from Sophia.,Agent2 borrowed number3 type1 from Agent1,Agent1,Agent2,number3,type1
Olivia gave 16 chocolates to Sophia.,Agent2 gave number5 type1 to Agent3,Agent2,Agent3,number5,type1
Liam got 50 cards from Ava.,Agent2 got number3 type1 from Agent1,Agent1,Agent2,number3,type1
Lucas handed 35 stamps to Daniel.,Agent3 handed number5 type1 to Agent2,Agent3,Agent2,number5,type1
Olivia gave 30 books to Emma.,Agent1 gave number5 type2 to Agent3,Agent1,Agent3,number5,type2
Emma transferred 17 books to Sophia.,Agent1 transferred number3 type1 to Agent2,Agent1,Agent2,number3,type1
Liam took 2 coins from Daniel.,Agent2 took number4 type2 from Agent3,Agent3,Agent2,number4,type2
Olivia handed 12 apples to Sophia.,Agent1 handed number3 type1 to Agent2,Agent1,Agent2,number3,type1
Liam got 12 apples from Daniel.,Agent2 got number4 type1 from Agent3,Agent3,Agent2,number4,type1
Lucas borrowed 36 pens from Emma.,Agent2 borrowed number4 type2 from Agent1,Agent1,Agent2,number4,type2
Olivia got 29 books from Emma.,Agent1 got number5 type2 from Agent3,Agent3,Agent1,number5,type2
Ava borrowed 27 stamps from Lucas.,Agent2 borrowed number4 type1 from Agent3,Agent3,Agent2,number4,type1
Mike got 9 apples from Daniel.,Agent2 got number3 type1 from Agent1,Agent1,Agent2,number3,type1
Lucas passed 21 cards to Liam.,Agent1 passed number4 type1 to Agent3,Agent1,Agent3,number4,type1
John took 39 pens from Emma.,Agent2 took number5 type2 from Agent3,Agent3,Agent2,number5,type2
Liam handed 2 coins to Daniel.,Agent1 handed number4 type1 to Agent3,Agent1,Agent3,number4,type1
Sophia passed 37 stickers to Liam.,Agent3 passed number4 type2 to Agent2,Agent3,Agent2,number4,type2
Lucas took 25 books from Mike.,Agent2 took number3 type1 from Agent1,Agent1,Agent2,number3,type1
Ava took 43 stamps from Lucas.,Agent2 took number4 type1 from Agent3,Agent3,Agent2,number4,type1
Mike got 45 chocolates from Liam.,Agent2 got number4 type2 from Agent1,Agent1,Agent2,number4,type2
Emma handed 28 chocolates to Mike.,Agent1 handed number5 type1 to Agent3,Agent1,Agent3,number5,type1
Lucas transferred 5 pens to Noah.,Agent1 transferred number3 type2 to Agent2,Agent1,Agent2,number3,type2
John handed 15 chocolates to Daniel.,Agent1 handed number3 type1 to Agent2,Agent1,Agent2,number3,type1
Mike took 16 cards from John.,Agent2 took number4 type1 from Agent3,Agent3,Agent2,number4,type1
Mike gave 50 apples to Daniel.,Agent1 gave number3 type1 to Agent2,Agent1,Agent2,number3,type1
Olivia got 19 chocolates from Noah.,Agent2 got number4 type2 from Agent3,Agent3,Agent2,number4,type2
John received 48 apples from Sophia.,Agent3 received number4 type1 from Agent1,Agent1,Agent3,number4,type1
